s_no,start,end,file,t_0,t_1,toa,snr
825,1246503040,1246503552,[91],0.094042,0.189669,222.476074,17.626303
826,1246503488,1246504000,[91],0.014903,0.053993,354.377686,59.895591
827,1246503936,1246504448,[91],0.003026,0.016104,364.342773,25.497228
829,1246504832,1246505344,[91],0.009455,0.073987,316.344238,51.65303
830,1246505280,1246505792,[91],5.5e-05,0.009122,252.040039,91.987724
831,1246505728,1246506240,[91],0.003486,0.011796,180.091797,11.933853
832,1246506176,1246506688,[91],0.010484,0.031639,242.718994,2031.517518
833,1246506624,1246507136,"[91,92]",3.7e-05,0.01503,114.023193,25.1169
834,1246507072,1246507584,[92],0.020906,0.088987,92.524414,756.617471
836,1246507968,1246508480,[92],0.000933,0.01096,423.060303,234.516843
837,1246508416,1246508928,[92],0.066134,0.134785,167.658447,29.281578
838,1246508864,1246509376,[92],0.000103,0.024784,421.969727,39.614948
839,1246509312,1246509824,[92],0.000109,0.009892,79.855957,324.883065
840,1246509760,1246510272,[92],0.032334,0.07919,428.455811,25.703166
841,1246510208,1246510720,[92],0.004001,0.01841,382.941895,93.953076
843,1246511104,1246511616,[93],0.184343,0.311585,353.347656,9.043131
845,1246512000,1246512512,[93],4.7e-05,0.023969,137.56958,3112.196738
846,1246512448,1246512960,[93],0.160357,0.325352,308.746582,9.237099
847,1246512896,1246513408,[93],0.013089,0.035585,222.249512,33.047816
848,1246513344,1246513856,[93],0.00048,0.285951,117.289062,12.236016
849,1246513792,1246514304,[93],0.000444,0.230479,438.611084,18.621393
850,1246514240,1246514752,[93],0.051717,0.076973,370.672607,127.742458
852,1246515136,1246515648,"[93,94]",0.000192,0.075071,344.540527,10.176684
853,1246515584,1246516096,[94],0.00029,0.077888,343.912598,10.004245
854,1246516032,1246516544,[94],0.017952,0.056911,442.853516,101.070141
855,1246516480,1246516992,[94],0.0002,0.043815,444.101074,48.55717
856,1246516928,1246517440,[94],0.016741,0.039299,161.951416,31.842738
859,1246518272,1246518784,[94],0.000267,0.138524,56.969482,15.807306
861,1246519168,1246519680,"[94,95]",0.087229,0.142846,267.422363,9.704153
862,1246519616,1246520128,[95],0.006463,0.026284,437.421875,207.739555
863,1246520064,1246520576,[95],0.000963,0.198884,85.277588,166.838028
864,1246520512,1246521024,[95],0.025339,0.062957,112.612061,322.509891
865,1246520960,1246521472,[95],0.014429,0.033856,280.462158,25.417489
866,1246521408,1246521920,[95],0.000168,0.0749,113.683594,17.278543
868,1246522304,1246522816,[95],0.000329,0.084525,168.092529,67.824274
869,1246522752,1246523264,[95],0.00688,0.025686,407.19873,191.845586
871,1246523648,1246524160,[96],0.031439,0.060658,54.607666,28.195607
873,1246524544,1246525056,[96],0.000538,0.379625,302.657471,10.728555
874,1246524992,1246525504,[96],0.000251,0.00173,376.497314,5625.941277
875,1246525440,1246525952,[96],0.033349,0.068997,89.554688,18.133977
877,1246526336,1246526848,[96],0.000101,0.024579,353.290283,210.168495
880,1246527680,1246528192,[97],0.014297,0.034783,55.209961,2135.454687
881,1246528128,1246528640,[97],0.008791,0.027964,279.341797,1226.839205
